Year,Symbol,RON million
2010,Recreation, Entertainment and Arts,15,091
2011,Recreation, Entertainment and Arts,21,183
2012,Recreation, Entertainment and Arts,16,330
2013,Recreation, Entertainment and Arts,18,078
2014,Recreation, Entertainment and Arts,20,022
2015,Recreation, Entertainment and Arts,21,473
2016,Recreation, Entertainment and Arts,23,629
2017,Recreation, Entertainment and Arts,26,925
2018,Recreation, Entertainment and Arts,28,765
2019,Recreation, Entertainment and Arts,31,511
2020,Recreation, Entertainment and Arts,22,200
2021,Recreation, Entertainment and Arts,30,763
2022,Recreation, Entertainment and Arts,39,272
2023,Recreation, Entertainment and Arts,43,148
2010,Amusement Parks and Entertainment Services,04
2011,Amusement Parks and Entertainment Services,05
2012,Amusement Parks and Entertainment Services,05
2013,Amusement Parks and Entertainment Services,05
2014,Amusement Parks and Entertainment Services,06
2015,Amusement Parks and Entertainment Services,06
2016,Amusement Parks and Entertainment Services,07
2017,Amusement Parks and Entertainment Services,08
2018,Amusement Parks and Entertainment Services,09
2019,Amusement Parks and Entertainment Services,11
2020,Amusement Parks and Entertainment Services,07
2021,Amusement Parks and Entertainment Services,04
2022,Amusement Parks and Entertainment Services,05
2023,Amusement Parks and Entertainment Services,06
